player,day - TAXA DE OCUPAÇÃO UTI - COVID,week - TAXA DE OCUPAÇÃO UTI - COVID,day - TAXA DE OCUPAÇÃO ENF. COVID,week - TAXA DE OCUPAÇÃO ENF. COVID
Região Centro-Oeste,0%,0%,0%,0%
Hospitais - DF,0%,0%,0%,0%
Hospitais - GO,0%,0%,0%,0%
Hospitais - MS,0%,0%,0%,0%
Hospitais - MT,0%,0%,0%,0%
Região Nordeste,-1.4663787712229834%,-7.331893856114917%,-0.9375310478726282%,-4.68765523936314%
Hospitais - AL,-1.388027445949683%,-6.940137229748415%,-1.7198048174930216%,-8.599024087465107%
Hospitais - BA,-1.360933386954189%,-6.804666934770945%,-0.0948642479007833%,-0.47432123950391647%
Hospitais - CE,-2.0966021789371223%,-10.483010894685611%,-1.85974535212795%,-9.29872676063975%
Hospitais - MA,-0.3249596259514499%,-1.6247981297572496%,-0.9993052871709996%,-4.996526435854999%
Hospitais - PB,0%,0%,0%,0%
Hospitais - PE,-1.4790749494527002%,-7.395374747263501%,-1.6412431793595608%,-8.206215896797804%
Hospitais - PI,-0.1372961341609395%,-0.6864806708046973%,0%,0%
Hospitais - RN,-0.46226484237062193%,-2.311324211853109%,-0.871263037186077%,-4.356315185930384%
Hospitais - SE,-3.7021853523665125%,-18.51092676183256%,-0.00902546526629972%,-0.04512732633149861%
Região Norte,0%,0%,-0.8008598207743615%,-4.004299103871808%
Hospitais - AC,0%,0%,0%,0%
Hospitais - AM,-0.8785904826794169%,-4.392952413397085%,-0.7690061056912273%,-3.8450305284561357%
Hospitais - AP,0%,0%,-6.231425852709424%,-31.157129263547116%
Hospitais - PA,-0.936973571966678%,-4.684867859833389%,-0.18134297636369953%,-0.9067148818184977%
Hospitais - TO,0%,0%,0%,0%
Hospitais - RO,0%,0%,0%,0%
Região Sudeste,-0.8724296338148301%,-4.362148169074151%,-0.7070691889825731%,-3.5353459449128657%
Hospitais - ES,-1.145265875815695%,-5.726329379078474%,0%,0%
Hospitais - MG,0%,0%,0%,0%
Hospitais - RJ,-0.3344773735753167%,-1.6723868678765834%,-0.5720432863858889%,-2.8602164319294445%
Hospitais - SP,-1.1133607649715445%,-5.566803824857722%,-2.0134806788372224%,-10.067403394186112%
Região Sul,0%,0%,0%,0%
Hospitais - PR,0%,0%,0%,0%
Hospitais - RS,0%,0%,0%,0%
Hospitais - SC,0%,0%,0%,0%
Brasil,-0.36661890280198756%,-1.8330945140099375%,-0.30367835015952993%,-1.5183917507976494%
